datetime,funding_rate
2024-03-31 16:00:00,0.00110162
2024-04-01 00:00:00,0.00135623
2024-04-01 08:00:00,0.00135319
2024-04-01 16:00:00,0.00089445
2024-04-02 00:00:00,0.0009737
2024-04-02 08:00:00,0.0004637
2024-04-02 16:00:00,0.00060954
2024-04-03 00:00:00,0.00035773
2024-04-03 08:00:00,0.00065238
2024-04-03 16:00:00,0.00050831
2024-04-04 00:00:00,0.0001
2024-04-04 08:00:00,0.00041887
2024-04-04 16:00:00,0.00037469
2024-04-05 00:00:00,0.00020096
2024-04-05 08:00:00,0.00032223
2024-04-05 16:00:00,0.00018946
2024-04-06 00:00:00,0.00025481
2024-04-06 08:00:00,0.0001
2024-04-06 16:00:00,0.00031997
2024-04-07 00:00:00,0.00034125
2024-04-07 08:00:00,0.0001
2024-04-07 16:00:00,0.00041136
2024-04-08 00:00:00,0.0005279
2024-04-08 08:00:00,0.0003904
2024-04-08 16:00:00,0.00065703
2024-04-09 00:00:00,0.00069041
2024-04-09 08:00:00,0.00067871
2024-04-09 16:00:00,0.00053959
2024-04-10 00:00:00,0.00046043
2024-04-10 08:00:00,0.00019316
2024-04-10 16:00:00,0.00034301
2024-04-11 00:00:00,0.00051936
2024-04-11 08:00:00,0.00046869
2024-04-11 16:00:00,0.00018274
2024-04-12 00:00:00,0.0001
2024-04-12 08:00:00,0.00027662
2024-04-12 16:00:00,0.00031114
2024-04-13 00:00:00,0.0001
2024-04-13 08:00:00,0.0001
2024-04-13 16:00:00,0.0001
2024-04-14 00:00:00,0.0001
2024-04-14 08:00:00,0.0001
2024-04-14 16:00:00,0.0001
2024-04-15 00:00:00,0.0001
2024-04-15 08:00:00,0.0001
2024-04-15 16:00:00,0.0001
2024-04-16 00:00:00,0.0001
2024-04-16 08:00:00,0.0001
2024-04-16 16:00:00,0.0001
2024-04-17 00:00:00,0.0001
2024-04-17 08:00:00,0.0001
2024-04-17 16:00:00,0.0001
2024-04-18 00:00:00,0.0001
2024-04-18 08:00:00,0.0001
2024-04-18 16:00:00,0.0001
2024-04-19 00:00:00,0.0001
2024-04-19 08:00:00,0.0001
2024-04-19 16:00:00,0.00015099
2024-04-20 00:00:00,0.0001
2024-04-20 08:00:00,0.0001
2024-04-20 16:00:00,0.0001
2024-04-21 00:00:00,0.0001
2024-04-21 08:00:00,0.0001
2024-04-21 16:00:00,0.0001
2024-04-22 00:00:00,0.0001
2024-04-22 08:00:00,0.00016028
2024-04-22 16:00:00,0.000165
2024-04-23 00:00:00,0.0001
2024-04-23 08:00:00,0.0001
2024-04-23 16:00:00,0.00023392
2024-04-24 00:00:00,0.00025388
2024-04-24 08:00:00,0.00069375
2024-04-24 16:00:00,0.00047353
2024-04-25 00:00:00,0.0001
2024-04-25 08:00:00,0.0001
2024-04-25 16:00:00,0.0001
2024-04-26 00:00:00,0.0001
2024-04-26 08:00:00,0.0001
2024-04-26 16:00:00,0.0001
2024-04-27 00:00:00,0.0001
2024-04-27 08:00:00,0.00007347
2024-04-27 16:00:00,-0.00013971
2024-04-28 00:00:00,0.0001
2024-04-28 08:00:00,0.0001
2024-04-28 16:00:00,0.0001
2024-04-29 00:00:00,0.0001
2024-04-29 08:00:00,0.0001
2024-04-29 16:00:00,0.0001
2024-04-30 00:00:00,0.0001
2024-04-30 08:00:00,0.0001
2024-04-30 16:00:00,-0.00001324
2024-05-01 00:00:00,0.0001
2024-05-01 08:00:00,0.0001
2024-05-01 16:00:00,0.00009688
2024-05-02 00:00:00,0.00003532
2024-05-02 08:00:00,0.0001
2024-05-02 16:00:00,0.0001
2024-05-03 00:00:00,0.0001
2024-05-03 08:00:00,0.0001
2024-05-03 16:00:00,0.0001
2024-05-04 00:00:00,0.0001
2024-05-04 08:00:00,0.0001
2024-05-04 16:00:00,0.0001
2024-05-05 00:00:00,0.0001
2024-05-05 08:00:00,0.0001
2024-05-05 16:00:00,0.0001
2024-05-06 00:00:00,0.0001
2024-05-06 08:00:00,0.0001
2024-05-06 16:00:00,0.0001
2024-05-07 00:00:00,0.0001
2024-05-07 08:00:00,0.0001
2024-05-07 16:00:00,0.0001
2024-05-08 00:00:00,0.0001
2024-05-08 08:00:00,0.0001
2024-05-08 16:00:00,0.0001
2024-05-09 00:00:00,0.0001
2024-05-09 08:00:00,0.0001
2024-05-09 16:00:00,0.0001
2024-05-10 00:00:00,0.00004393
2024-05-10 08:00:00,0.0001
2024-05-10 16:00:00,0.0001
2024-05-11 00:00:00,0.0001
2024-05-11 08:00:00,0.0001
2024-05-11 16:00:00,0.0001
2024-05-12 00:00:00,-0.00004488
2024-05-12 08:00:00,0.0000424
2024-05-12 16:00:00,0.00008832
2024-05-13 00:00:00,0.00002819
2024-05-13 08:00:00,-0.00000934
2024-05-13 16:00:00,0.0001
2024-05-14 00:00:00,0.0001
2024-05-14 08:00:00,0.0001
2024-05-14 16:00:00,0.0001
2024-05-15 00:00:00,0.0001
2024-05-15 08:00:00,0.0001
2024-05-15 16:00:00,0.0001
2024-05-16 00:00:00,0.0001
2024-05-16 08:00:00,0.0001
2024-05-16 16:00:00,0.0001
2024-05-17 00:00:00,0.0001
2024-05-17 08:00:00,0.0001
2024-05-17 16:00:00,0.0001
2024-05-18 00:00:00,0.0001
2024-05-18 08:00:00,0.0001
2024-05-18 16:00:00,0.0001
2024-05-19 00:00:00,0.0001
2024-05-19 08:00:00,0.0001
2024-05-19 16:00:00,0.0001
2024-05-20 00:00:00,0.0001
2024-05-20 08:00:00,0.0001
2024-05-20 16:00:00,0.0001
2024-05-21 00:00:00,0.00026105
